ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
158,2,2,2,42,1,256,4,23,0
159,3,1,2,38,1,370,1,22,0
160,18,2,2,82,1,727,4,47,1
161,5,2,2,76,0,391,2,36,0
162,8,2,2,80,1,616,1,45,0
163,1,2,2,68,1,826,1,27,0
164,3,1,2,46,0,391,2,21,0
165,1,2,2,39,0,448,4,32,1
166,7,2,2,36,1,397,4,41,1
167,4,2,2,50,0,475,2,22,0
168,1,2,2,37,0,388,4,34,0
169,1,2,2,46,0,457,3,29,0
170,4,2,2,24,1,352,3,29,0
171,1,2,2,36,0,424,1,36,1
172,7,2,2,46,1,562,3,29,1
173,3,1,1,46,0,367,4,25,0
174,2,1,2,84,1,805,4,23,0
175,3,1,2,48,1,391,2,33,0
176,9,2,2,84,1,481,4,36,1
177,1,1,2,44,0,436,3,42,0
178,1,2,2,92,1,1513,2,26,1
179,1,2,2,84,0,850,1,47,0
180,1,2,2,64,0,673,4,37,1
181,1,1,2,28,0,196,1,32,0
182,1,2,2,36,1,547,4,23,0
183,2,1,2,40,1,331,2,21,0
184,1,1,2,30,0,304,2,27,0
185,1,2,2,35,0,328,2,40,0
186,8,2,2,56,0,577,4,41,1
187,9,2,2,72,1,403,3,60,1
188,2,2,2,82,1,460,4,33,1
189,9,2,2,78,1,337,4,31,1
190,6,2,2,70,1,448,2,25,1
191,1,2,2,16,0,178,1,21,0
192,10,2,2,88,1,493,2,40,0
193,1,2,2,45,0,412,3,36,1
194,1,2,1,105,0,1069,3,40,1
195,9,1,2,40,0,232,1,42,0
196,6,2,2,82,1,682,3,29,1
197,1,2,2,23,0,229,1,21,0
198,4,2,2,26,1,187,4,23,1
199,5,2,2,88,1,544,4,26,1
200,5,2,2,54,1,427,1,29,1
201,1,2,2,32,0,430,4,21,0
202,1,2,2,64,0,703,1,28,0
203,1,2,2,40,0,319,4,32,0
204,3,1,2,32,1,112,1,27,0
205,7,2,2,64,1,631,2,55,0
206,6,2,2,56,0,217,3,27,0
207,9,2,2,58,1,625,3,57,1
208,1,2,2,70,0,631,1,52,1
209,2,1,2,54,1,496,2,21,0
210,8,2,2,66,0,565,2,41,1
211,3,1,2,44,0,331,2,25,0
212,1,2,2,108,0,784,2,24,0
213,8,2,2,62,0,526,1,60,0
214,1,2,2,52,1,778,3,24,1
215,10,2,2,64,1,526,2,36,1
216,13,2,2,80,1,754,4,38,1
217,6,2,2,82,1,574,3,25,1
218,7,2,2,60,1,400,3,32,0
219,6,1,2,44,0,370,4,32,1
220,1,2,2,59,0,634,2,41,1
221,1,2,2,58,1,538,4,21,1
