ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
684,1,2,2,48,0,469,3,27,1
685,1,2,2,1,0,0,4,69,0
686,3,2,2,52,1,496,3,25,0
687,1,2,2,14,0,193,2,22,0
688,2,2,1,38,0,349,1,29,0
689,2,2,2,52,1,223,4,23,0
690,2,2,2,92,1,883,2,46,1
691,1,2,2,23,0,238,4,34,0
692,1,2,2,72,0,769,2,44,1
693,3,2,2,64,1,673,4,23,0
694,8,2,2,98,1,655,3,43,1
695,1,1,2,13,0,205,1,25,0
696,8,2,2,48,1,412,1,43,1
697,4,2,2,38,1,397,2,31,1
698,1,1,1,20,0,250,2,22,0
699,5,2,2,22,1,535,3,28,0
700,1,2,2,84,0,835,4,26,0
701,3,2,2,54,1,577,3,26,0
702,7,2,2,62,0,328,3,49,1
703,2,2,2,58,0,550,4,52,1
704,1,2,1,71,0,655,2,41,0
705,5,2,2,40,1,352,1,27,0
706,7,1,2,72,0,694,1,28,0
707,1,2,1,1,0,0,2,30,1
708,3,2,1,42,1,532,1,22,0
709,1,2,2,60,0,484,1,45,1
710,3,1,2,64,1,640,4,23,1
711,4,2,2,26,1,436,2,24,0
712,6,2,2,54,1,388,3,40,0
713,11,2,2,72,0,736,3,38,1
714,1,2,2,40,1,292,2,21,0
715,1,2,2,34,0,385,1,32,0
716,8,2,1,66,1,517,4,34,1
717,4,2,2,78,1,514,4,31,1
718,11,1,2,36,0,193,3,56,0
719,2,2,2,92,1,565,3,24,0
720,6,1,2,54,0,568,2,52,1
721,5,1,2,38,0,379,2,34,0
722,2,2,2,72,1,643,2,21,0
723,2,2,2,58,1,379,2,42,1
724,6,2,2,60,1,673,2,42,0
725,1,2,2,54,0,484,2,45,0
726,5,2,2,80,0,682,1,38,0
727,2,2,2,58,1,583,3,25,0
728,1,2,2,52,0,472,3,22,0
729,1,2,2,27,0,187,2,22,0
730,1,1,2,42,0,403,1,22,0
731,4,2,2,46,1,352,2,34,1
732,1,2,2,28,0,352,2,22,1
733,3,2,2,74,1,835,4,24,1
734,3,2,2,54,1,370,3,22,0
735,1,2,2,20,0,199,3,53,0
736,5,1,2,64,0,562,2,28,0
737,1,2,2,54,1,322,3,21,0
738,9,1,2,46,0,460,3,42,0
739,3,1,2,34,1,598,3,21,0
740,1,2,2,71,0,685,2,42,1
741,12,2,2,74,1,769,4,48,1
742,4,2,1,40,1,424,3,26,0
743,2,2,2,36,1,355,1,22,0
744,1,2,2,52,0,481,4,45,1
745,14,2,2,74,1,718,4,39,0
746,13,1,2,66,1,400,3,46,0
747,2,2,2,82,0,979,2,27,1
748,2,1,2,82,1,889,4,32,0
749,4,2,2,44,1,592,3,36,1
750,1,2,2,17,0,229,1,50,1
751,1,2,2,53,0,436,4,22,1
752,2,2,2,78,1,670,2,28,0
753,4,2,2,48,0,280,1,25,0
754,1,2,2,88,1,799,1,26,1
755,9,2,2,64,0,472,3,45,1
756,2,2,2,78,1,595,4,37,1
757,8,2,2,82,0,460,3,39,0
758,1,2,2,60,0,589,2,52,1
759,1,2,2,69,0,625,1,26,0
760,1,2,2,22,0,565,2,66,1
761,3,1,2,52,1,352,4,22,0
762,10,2,2,62,0,820,3,43,1
763,1,1,2,17,0,175,1,33,0
764,11,2,2,96,1,487,1,63,0
765,3,2,2,54,0,604,2,27,0
766,6,2,2,46,1,286,2,30,0
767,1,2,2,42,0,403,2,47,1
768,2,1,2,62,0,412,2,23,0
